,cases,deaths,countryterritoryCode
2249,155.0,9.0,BGR
2250,143.0,3.0,BGR
2251,27.0,4.0,BGR
2252,92.0,7.0,BGR
2253,201.0,4.0,BGR
2254,163.0,10.0,BGR
2255,122.0,15.0,BGR
2256,167.0,1.0,BGR
2257,57.0,5.0,BGR
2258,39.0,6.0,BGR
2259,96.0,7.0,BGR
2260,179.0,10.0,BGR
2261,158.0,6.0,BGR
2262,163.0,13.0,BGR
2263,188.0,16.0,BGR
2264,76.0,8.0,BGR
2265,26.0,2.0,BGR
2266,99.0,9.0,BGR
2267,157.0,8.0,BGR
2268,157.0,14.0,BGR
2269,162.0,9.0,BGR
2270,203.0,18.0,BGR
2271,99.0,0.0,BGR
2272,60.0,6.0,BGR
2273,96.0,7.0,BGR
2274,169.0,5.0,BGR
2275,142.0,8.0,BGR
2276,151.0,7.0,BGR
2277,169.0,14.0,BGR
2278,135.0,3.0,BGR
2279,32.0,3.0,BGR
2280,90.0,8.0,BGR
2281,174.0,2.0,BGR
2282,176.0,11.0,BGR
2283,171.0,12.0,BGR
2284,210.0,12.0,BGR
2285,116.0,2.0,BGR
2286,53.0,3.0,BGR
2287,134.0,7.0,BGR
2288,195.0,11.0,BGR
2289,297.0,9.0,BGR
2290,303.0,11.0,BGR
2291,255.0,16.0,BGR
2292,204.0,3.0,BGR
2293,119.0,2.0,BGR
2294,146.0,9.0,BGR
2295,270.0,6.0,BGR
2296,265.0,13.0,BGR
2297,284.0,8.0,BGR
2298,250.0,7.0,BGR
2299,194.0,2.0,BGR
2300,115.0,1.0,BGR
2301,189.0,8.0,BGR
2302,270.0,8.0,BGR
2303,269.0,8.0,BGR
2304,330.0,5.0,BGR
2305,325.0,8.0,BGR
2306,196.0,1.0,BGR
2307,95.0,2.0,BGR
2308,196.0,4.0,BGR
2309,298.0,4.0,BGR
2310,267.0,6.0,BGR
2311,232.0,7.0,BGR
2312,234.0,8.0,BGR
2313,159.0,1.0,BGR
2314,77.0,0.0,BGR
2315,211.0,5.0,BGR
2316,292.0,3.0,BGR
2317,330.0,5.0,BGR
2318,240.0,4.0,BGR
2319,188.0,4.0,BGR
2320,174.0,5.0,BGR
2321,63.0,2.0,BGR
2322,180.0,7.0,BGR
2323,182.0,0.0,BGR
2324,161.0,2.0,BGR
2325,165.0,7.0,BGR
2326,158.0,4.0,BGR
2327,140.0,3.0,BGR
2328,66.0,1.0,BGR
2329,112.0,4.0,BGR
2330,105.0,2.0,BGR
2331,166.0,1.0,BGR
2332,128.0,1.0,BGR
2333,130.0,8.0,BGR
2334,79.0,0.0,BGR
2335,33.0,6.0,BGR
2336,117.0,3.0,BGR
2337,81.0,6.0,BGR
2338,132.0,3.0,BGR
2339,89.0,5.0,BGR
2340,112.0,2.0,BGR
2341,51.0,2.0,BGR
2342,24.0,0.0,BGR
2343,75.0,4.0,BGR
2344,105.0,1.0,BGR
2345,93.0,0.0,BGR
2346,104.0,3.0,BGR
2347,79.0,4.0,BGR
2348,83.0,0.0,BGR
2349,16.0,0.0,BGR
2350,43.0,1.0,BGR
2351,40.0,12.0,BGR
2352,35.0,0.0,BGR
2353,33.0,3.0,BGR
2354,22.0,0.0,BGR
2355,19.0,4.0,BGR
2356,6.0,0.0,BGR
2357,14.0,1.0,BGR
2358,14.0,3.0,BGR
2359,8.0,3.0,BGR
2360,17.0,0.0,BGR
2361,17.0,3.0,BGR
2362,10.0,0.0,BGR
2363,6.0,4.0,BGR
2364,19.0,0.0,BGR
2365,36.0,1.0,BGR
2366,41.0,5.0,BGR
2367,39.0,4.0,BGR
2368,33.0,4.0,BGR
2369,24.0,2.0,BGR
2370,24.0,2.0,BGR
2371,36.0,6.0,BGR
2372,37.0,3.0,BGR
2373,38.0,3.0,BGR
2374,31.0,1.0,BGR
2375,65.0,2.0,BGR
2376,23.0,2.0,BGR
2377,26.0,1.0,BGR
2378,44.0,2.0,BGR
2379,46.0,4.0,BGR
2380,54.0,0.0,BGR
2381,53.0,6.0,BGR
2382,69.0,0.0,BGR
2383,57.0,5.0,BGR
2384,21.0,1.0,BGR
2385,23.0,3.0,BGR
2386,47.0,3.0,BGR
2387,53.0,2.0,BGR
2388,51.0,6.0,BGR
2389,50.0,0.0,BGR
2390,39.0,2.0,BGR
2391,58.0,1.0,BGR
2392,56.0,1.0,BGR
2393,63.0,2.0,BGR
2394,90.0,3.0,BGR
2395,66.0,4.0,BGR
2396,49.0,2.0,BGR
2397,51.0,0.0,BGR
2398,31.0,2.0,BGR
2399,19.0,0.0,BGR
2400,40.0,3.0,BGR
2401,42.0,2.0,BGR
2402,48.0,1.0,BGR
2403,40.0,3.0,BGR
2404,19.0,3.0,BGR
2405,7.0,1.0,BGR
2406,21.0,3.0,BGR
2407,24.0,1.0,BGR
2408,13.0,0.0,BGR
2409,30.0,1.0,BGR
2410,16.0,1.0,BGR
2411,24.0,2.0,BGR
2412,19.0,3.0,BGR
2413,24.0,3.0,BGR
2414,21.0,4.0,BGR
2415,28.0,0.0,BGR
2416,37.0,2.0,BGR
2417,33.0,0.0,BGR
2418,25.0,0.0,BGR
2419,16.0,1.0,BGR
2420,25.0,4.0,BGR
2421,37.0,0.0,BGR
2422,33.0,0.0,BGR
2423,23.0,0.0,BGR
2424,18.0,0.0,BGR
2425,12.0,0.0,BGR
2426,19.0,0.0,BGR
2427,29.0,0.0,BGR
2428,30.0,0.0,BGR
2429,18.0,1.0,BGR
2430,13.0,0.0,BGR
2431,14.0,0.0,BGR
2432,15.0,0.0,BGR
2433,9.0,0.0,BGR
2434,12.0,1.0,BGR
2435,8.0,0.0,BGR
2436,16.0,0.0,BGR
2437,1.0,,BGR
2438,2.0,,BGR
2439,0.0,1.0,BGR
2440,0.0,0.0,BGR
2441,4.0,0.0,BGR
2949,2391.0,60.0,HRV
2950,1850.0,65.0,HRV
2951,1350.0,56.0,HRV
2952,316.0,68.0,HRV
2953,618.0,58.0,HRV
2954,350.0,65.0,HRV
2955,1643.0,84.0,HRV
2956,2233.0,70.0,HRV
2957,2763.0,66.0,HRV
2958,1595.0,71.0,HRV
2959,766.0,80.0,HRV
2960,1975.0,76.0,HRV
2961,2752.0,78.0,HRV
2962,3272.0,68.0,HRV
2963,3918.0,85.0,HRV
