,cases,deaths,countryterritoryCode
1041,3435.0,13.0,BEL
1042,3924.0,18.0,BEL
1043,820.0,4.0,BEL
1044,1424.0,11.0,BEL
1045,2545.0,7.0,BEL
1046,2517.0,11.0,BEL
1047,2545.0,13.0,BEL
1048,2290.0,14.0,BEL
1049,2791.0,5.0,BEL
1050,679.0,8.0,BEL
1051,1147.0,8.0,BEL
1052,2149.0,6.0,BEL
1053,2164.0,11.0,BEL
1054,2167.0,7.0,BEL
1055,2391.0,7.0,BEL
1056,2628.0,13.0,BEL
1057,723.0,7.0,BEL
1058,1216.0,7.0,BEL
1059,2253.0,7.0,BEL
1060,2080.0,11.0,BEL
1061,2171.0,11.0,BEL
1062,2269.0,5.0,BEL
1063,2940.0,6.0,BEL
1064,652.0,7.0,BEL
1065,1260.0,9.0,BEL
1066,2390.0,5.0,BEL
1067,2426.0,1.0,BEL
1068,2322.0,7.0,BEL
1069,2498.0,8.0,BEL
1070,2930.0,7.0,BEL
1071,680.0,7.0,BEL
1072,1306.0,7.0,BEL
1073,2324.0,7.0,BEL
1074,2105.0,6.0,BEL
1075,2190.0,9.0,BEL
1076,2361.0,9.0,BEL
1077,2800.0,7.0,BEL
1078,733.0,8.0,BEL
1079,1240.0,10.0,BEL
1080,2155.0,6.0,BEL
1081,2113.0,6.0,BEL
1082,2222.0,7.0,BEL
1083,2358.0,4.0,BEL
1084,2945.0,5.0,BEL
1085,833.0,4.0,BEL
1086,1372.0,4.0,BEL
1087,2217.0,5.0,BEL
1088,2187.0,6.0,BEL
1089,2395.0,7.0,BEL
1090,2460.0,6.0,BEL
1091,2654.0,3.0,BEL
1092,956.0,7.0,BEL
1093,1285.0,7.0,BEL
1094,2245.0,9.0,BEL
1095,2007.0,9.0,BEL
1096,2266.0,4.0,BEL
1097,2247.0,3.0,BEL
1098,2829.0,5.0,BEL
1099,766.0,2.0,BEL
1100,1352.0,4.0,BEL
1101,2273.0,5.0,BEL
1102,2158.0,3.0,BEL
1103,1992.0,2.0,BEL
1104,2218.0,2.0,BEL
1105,2597.0,5.0,BEL
1106,923.0,3.0,BEL
1107,1275.0,3.0,BEL
1108,2133.0,3.0,BEL
1109,1836.0,3.0,BEL
1110,1875.0,4.0,BEL
1111,1950.0,5.0,BEL
1112,2251.0,5.0,BEL
1113,1056.0,1.0,BEL
1114,1186.0,3.0,BEL
1115,1797.0,6.0,BEL
1116,1782.0,6.0,BEL
1117,1752.0,1.0,BEL
1118,1600.0,4.0,BEL
1119,2112.0,1.0,BEL
1120,784.0,2.0,BEL
1121,1158.0,3.0,BEL
1122,1656.0,2.0,BEL
1123,1914.0,4.0,BEL
1124,790.0,3.0,BEL
1125,1954.0,,BEL
1126,2134.0,,BEL
1127,838.0,2.0,BEL
1128,1104.0,,BEL
1129,1570.0,2.0,BEL
1130,1390.0,2.0,BEL
1131,1446.0,1.0,BEL
1132,1429.0,,BEL
1133,1764.0,2.0,BEL
1134,781.0,,BEL
1135,1004.0,5.0,BEL
1136,1289.0,2.0,BEL
1137,1227.0,2.0,BEL
1138,1173.0,,BEL
1139,1042.0,1.0,BEL
1140,998.0,3.0,BEL
1141,366.0,2.0,BEL
1142,521.0,3.0,BEL
1143,724.0,3.0,BEL
1144,676.0,5.0,BEL
1145,628.0,2.0,BEL
1146,557.0,5.0,BEL
1147,598.0,2.0,BEL
1148,177.0,3.0,BEL
1149,259.0,2.0,BEL
1150,398.0,5.0,BEL
1151,339.0,5.0,BEL
1152,396.0,5.0,BEL
1153,365.0,3.0,BEL
1154,482.0,5.0,BEL
1155,139.0,3.0,BEL
1156,274.0,6.0,BEL
1157,424.0,9.0,BEL
1158,450.0,7.0,BEL
1159,419.0,6.0,BEL
1160,535.0,6.0,BEL
1161,765.0,6.0,BEL
1162,209.0,4.0,BEL
1163,390.0,6.0,BEL
1164,779.0,9.0,BEL
1165,764.0,7.0,BEL
1166,841.0,6.0,BEL
1167,1041.0,13.0,BEL
1168,1237.0,5.0,BEL
1169,399.0,7.0,BEL
1170,647.0,13.0,BEL
1171,1348.0,10.0,BEL
1172,1466.0,15.0,BEL
1173,1498.0,16.0,BEL
1174,1682.0,11.0,BEL
1175,2026.0,14.0,BEL
1176,603.0,18.0,BEL
1177,1116.0,16.0,BEL
1178,2023.0,11.0,BEL
1179,2215.0,6.0,BEL
1180,2534.0,14.0,BEL
1181,2789.0,16.0,BEL
1182,899.0,19.0,BEL
1183,773.0,11.0,BEL
1184,1434.0,18.0,BEL
1185,2425.0,19.0,BEL
1186,2409.0,16.0,BEL
1187,3118.0,25.0,BEL
1188,3264.0,17.0,BEL
1189,3576.0,24.0,BEL
1190,735.0,17.0,BEL
1191,1254.0,22.0,BEL
1192,2557.0,20.0,BEL
1193,943.0,21.0,BEL
1194,2808.0,19.0,BEL
1195,2990.0,17.0,BEL
1196,3362.0,28.0,BEL
1197,855.0,32.0,BEL
1198,1714.0,42.0,BEL
1199,3294.0,26.0,BEL
1200,3515.0,38.0,BEL
1201,3615.0,38.0,BEL
1202,3651.0,40.0,BEL
1203,4331.0,43.0,BEL
1204,1137.0,34.0,BEL
1205,1335.0,28.0,BEL
1206,3487.0,33.0,BEL
1207,3347.0,46.0,BEL
1208,3448.0,49.0,BEL
1209,3760.0,26.0,BEL
1210,4270.0,44.0,BEL
1211,1138.0,39.0,BEL
1212,1889.0,36.0,BEL
1213,3636.0,42.0,BEL
1214,3801.0,43.0,BEL
1215,4068.0,36.0,BEL
1216,4457.0,36.0,BEL
1217,5433.0,50.0,BEL
1218,1312.0,35.0,BEL
1219,2322.0,30.0,BEL
1220,4021.0,45.0,BEL
1221,3807.0,42.0,BEL
1222,3900.0,39.0,BEL
1223,4281.0,37.0,BEL
1224,4729.0,44.0,BEL
1225,1305.0,22.0,BEL
1226,2362.0,46.0,BEL
1227,4497.0,44.0,BEL
1228,4466.0,43.0,BEL
1229,4741.0,43.0,BEL
1230,5260.0,46.0,BEL
1231,1562.0,49.0,BEL
1232,1513.0,36.0,BEL
